molecule_chembl_id,canonical_smiles,median_ec50_nM,min_ec50_nM,max_ec50_nM,median_pEC50,bioactivity_class,molecule_pref_name,max_phase,molecule_type,structure_type,metadata_canonical_smiles,standard_inchi_key,full_mwt,alogp,psa,hba,hbd,rtb,aromatic_rings,cx_logp
CHEMBL1529482,N#CC1(NC(=O)COC(=O)c2cc(O)c3ccccc3c2O)CCCCC1,4280.0,4280.0,4280.0,5.368556230986828,intermediate,,,Small molecule,MOL,N#CC1(NC(=O)COC(=O)c2cc(O)c3ccccc3c2O)CCCCC1,YAOXUIRMNLBAGB-UHFFFAOYSA-N,368.39,2.75,119.65,6.0,3.0,4.0,2.0,
CHEMBL1421056,CC(C)CC(NC(=O)CCl)c1ccccc1,4290.0,4290.0,4290.0,5.367542707815275,intermediate,,,Small molecule,MOL,CC(C)CC(NC(=O)CCl)c1ccccc1,BREYCRYNLNAGQS-UHFFFAOYSA-N,239.75,3.13,29.10,1.0,1.0,5.0,1.0,
CHEMBL1456412,C[N+]1=C2C=CC=CC=C2SC12C([N+](=O)[O-])=CC(=[N+]([O-])[O-])C=C2[N+](=O)[O-],4290.0,4290.0,4290.0,5.367542707815275,intermediate,,,Small molecule,MOL,C[N+]1=C2C=CC=CC=C2SC12C([N+](=O)[O-])=CC(=[N+]([O-])[O-])C=C2[N+](=O)[O-],ZJFOXBNOYKAJHK-UHFFFAOYSA-N,362.32,1.31,138.42,7.0,0.0,2.0,0.0,
CHEMBL1483729,CC(C)c1n[nH]c2c1C(c1cccs1)C(C#N)=C(N)O2,4290.0,4290.0,4290.0,5.367542707815275,intermediate,,,Small molecule,MOL,CC(C)c1n[nH]c2c1C(c1cccs1)C(C#N)=C(N)O2,KVEBBIAYUFQONV-UHFFFAOYSA-N,286.36,2.81,87.72,5.0,2.0,2.0,2.0,
CHEMBL1587979,CCc1n[nH]c2c1C1(CCN(C(=O)c3ccccc3)CC1)C(C#N)=C(N)O2,4300.0,4300.0,4300.0,5.366531544420413,intermediate,,,Small molecule,MOL,CCc1n[nH]c2c1C1(CCN(C(=O)c3ccccc3)CC1)C(C#N)=C(N)O2,AVIZKEGCCZLYLD-UHFFFAOYSA-N,363.42,2.23,108.03,5.0,2.0,2.0,2.0,
CHEMBL1794234,CCc1n[nH]c2c1C(c1ccc(C)o1)C(C#N)=C(N)O2,4310.0,4310.0,4310.0,5.3655227298392685,intermediate,,,Small molecule,MOL,CCc1n[nH]c2c1C(c1ccc(C)o1)C(C#N)=C(N)O2,VVJDFSRBUSXRMY-UHFFFAOYSA-N,270.29,2.09,100.86,5.0,2.0,2.0,2.0,
CHEMBL3191602,O=C(O)CC1SC(N/N=C/c2ccc(-c3ccccc3[N+](=O)[O-])o2)=NC1=O,4310.0,4310.0,4310.0,5.3655227298392685,intermediate,,,Small molecule,MOL,O=C(O)CC1SC(N/N=C/c2ccc(-c3ccccc3[N+](=O)[O-])o2)=NC1=O,MFOZQRIVAZORBG-CAOOACKPSA-N,388.36,2.25,147.40,8.0,2.0,6.0,2.0,
CHEMBL1325451,CN(C(=O)c1ccc(S(=O)(=O)c2cccc(Cl)c2)c([N+](=O)[O-])c1)C1CCCCC1,4330.0,4330.0,4330.0,5.363512103646634,intermediate,,,Small molecule,MOL,CN(C(=O)c1ccc(S(=O)(=O)c2cccc(Cl)c2)c([N+](=O)[O-])c1)C1CCCCC1,YQBQRLSOGADWQO-UHFFFAOYSA-N,436.92,4.49,97.59,5.0,0.0,5.0,2.0,
CHEMBL1533236,COCc1n[nH]c2c1C(c1ccsc1)C(C#N)=C(N)O2,4350.0,4350.0,4350.0,5.361510743045363,intermediate,,,Small molecule,MOL,COCc1n[nH]c2c1C(c1ccsc1)C(C#N)=C(N)O2,WRZBCZFMZNBEBF-UHFFFAOYSA-N,288.33,1.84,96.95,6.0,2.0,3.0,2.0,
CHEMBL1599188,CC(=O)N(c1ccccc1)C(C)c1nc(C#N)c(C#N)nc1C,4350.0,4350.0,4350.0,5.361510743045363,intermediate,,,Small molecule,MOL,CC(=O)N(c1ccccc1)C(C)c1nc(C#N)c(C#N)nc1C,YGUKSUHOJOATSX-UHFFFAOYSA-N,305.34,2.64,93.67,5.0,0.0,3.0,2.0,
CHEMBL1317919,CCc1nnc(NC(=O)c2nc(S(=O)(=O)Cc3cccc(C)c3)ncc2Cl)s1,4370.0,4370.0,4370.0,5.359518563029578,intermediate,,,Small molecule,MOL,CCc1nnc(NC(=O)c2nc(S(=O)(=O)Cc3cccc(C)c3)ncc2Cl)s1,IMFAUYGMHFMKIB-UHFFFAOYSA-N,437.93,3.08,114.80,8.0,1.0,6.0,3.0,
