molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,bioactivity_numeric
CHEMBL1380020,O=C(COC(=O)C1CC(=O)N(Cc2ccco2)C1)c1ccc(OC(=O)c2ccco2)cc1,18000.0,inactive,0
CHEMBL1603760,O=C(CCl)N(c1ccccc1)c1ccccc1,484.0,active,1
CHEMBL3190218,Cl.Nn1cnnc1N/N=C/c1ccc(Cl)c([N+](=O)[O-])c1,10300.0,inactive,0
CHEMBL1077990,COC(=O)c1sc(-c2cccs2)cc1NC(=O)/C=C/C(=O)O,15200.0,inactive,0
CHEMBL3145089,COc1ccc(C(c2c(C)[nH]n(-c3ccccc3)c2=O)c2c(C)[nH]n(-c3ccccc3)c2=O)cc1OC,688.0,active,1
CHEMBL1537099,CC1=NN(c2ccc(C)cc2C)C(=O)C1C(c1ccccc1)C1C(=O)N(c2ccc(C)cc2C)N=C1C,431.0,active,1
CHEMBL1477756,COc1cc(-c2[nH]nc3c2C(c2ccco2)C(C#N)=C(N)O3)cc(OC)c1OC,531.0,active,1
CHEMBL1537132,CCCC1C(C#N)=C(N)Oc2[nH]nc(C(C)(C)C)c21,504.0,active,1
CHEMBL1324416,CC(=O)Oc1ccc2c(=O)oc(-c3ccccc3C)nc2c1,37800.0,inactive,0
CHEMBL1409740,CCc1ccc(N2C(=O)C(Cl)=C(N3CCOCC3)C2=O)cc1,340.0,active,1
CHEMBL1537149,Cc1n[nH]c(O)c1C(c1ccc(-c2ccc(Cl)c(Cl)c2)o1)c1c(C)n[nH]c1O,305.0,active,1
CHEMBL602990,CCOC(=O)c1c(C)oc2c1C(=O)c1ccccc1C2=O,13300.0,inactive,0
CHEMBL57013,COC(=O)c1nc(-c2ccc3c(n2)C(=O)C(=N)C(OC)=C3O)c(N)c(-c2ccc(OC)c(OC)c2O)c1C,342.0,active,1
CHEMBL1543839,O=C(OCn1ncc(Cl)c(Cl)c1=O)c1ccccc1Cl,669.0,active,1
CHEMBL1605394,CCCCOc1ccc(C2C3CN(C(=O)OCC)CC=C3C(C#N)=C(N)C2(C#N)C#N)cc1OC,29800.0,inactive,0
CHEMBL1605235,O=[N+]([O-])c1cc([N+](=O)[O-])c2oc(-c3ccccc3)c(Br)c2c1O,110500.0,inactive,0
CHEMBL1720482,CNCC(O)CN(c1ccccc1)c1ccccc1,10800.0,inactive,0
CHEMBL1522100,C=COC(=O)CSc1snc(SCC(=O)OC)c1C#N,40100.0,inactive,0
CHEMBL1527616,O=C(CCl)NCc1c(Cl)cccc1-n1cccc1,15300.0,inactive,0
CHEMBL1438646,CCCc1n[nH]c2c1C(c1ccc(OC(=O)N3CCOCC3)c(OC)c1)C(C#N)=C(N)O2,10000.0,inactive,0
CHEMBL1606613,COc1ccccc1-c1cc(C(F)(F)F)nc(S(C)(=O)=O)n1,10000.0,inactive,0
CHEMBL1443497,CCOC(=O)CSc1nc2sc3c(c2c(=O)n1C1CCCCC1)CCN(C)C3,15200.0,inactive,0
CHEMBL1347107,COC(=O)c1ccc(-c2ccc(C(c3c(C)n[nH]c3O)c3c(C)n[nH]c3O)o2)cc1,348.0,active,1
CHEMBL1572967,O=C(OCn1ncc(Cl)c(Cl)c1=O)c1ccc(F)cc1,938.0,active,1
CHEMBL1498136,O=[N+]([O-])c1ccc(Oc2cccc(F)c2)c2ccncc12,956.0,active,1
CHEMBL1556273,Cc1cc(C)cc(CC(Cc2nc3ccccc3[nH]2)c2nc3ccccc3[nH]2)c1,83000.0,inactive,0
CHEMBL1488395,Cc1ccc(Sc2c([N+](=O)[O-])ncn2C)cc1,34600.0,inactive,0
CHEMBL1399371,N#CC1=C(N)Oc2[nH]nc(-c3ccccc3)c2C1c1ccsc1,731.0,active,1
CHEMBL1498127,CCN=C(S)N=Nc1c(O)[nH]c2ccc([N+](=O)[O-])cc12,56600.0,inactive,0
CHEMBL3210913,COC(=O)c1ccc(/N=C2\C(Cl)=C(O)OC2OC(=O)c2ccccc2)cc1,17800.0,inactive,0
CHEMBL1300391,COc1ccc(Br)cc1[C@H]1[C@H]2C=CC[C@@H](C)[C@@H]2C(=O)N1Cc1ccccc1,162800.0,inactive,0
CHEMBL1556187,O=c1oc(-c2ccccc2Cl)nc2ccsc12,23300.0,inactive,0
CHEMBL1409991,CCOC(=O)c1cc(C)sc1NC(=O)CSC1=NCCS1,21400.0,inactive,0
CHEMBL1410091,Cc1oc2cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c2c1C(=O)c1ccc(Cl)cc1,10400.0,inactive,0
CHEMBL494083,CC(C)=CCC/C(C)=C/Cc1c(O)ccc(C(=O)/C=C/c2ccc(O)cc2)c1O,88400.0,inactive,0
CHEMBL1416713,CCc1cccc(CC)c1NC(=O)/C(C#N)=C/c1ccccc1C(F)(F)F,11700.0,inactive,0
CHEMBL1300420,N#Cc1cc(-c2ccccc2)nc(Oc2ccccc2)n1,17700.0,inactive,0
CHEMBL3198793,CC1=C(C)/C(=N\OC(=O)/C=C/c2ccccc2)C=CC1=O,532.0,active,1
CHEMBL3199015,CC1=NC2(O)c3ccccc3C(=O)C2(O)/C1=C(/O)OC(C)C,14700.0,inactive,0
