molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL1393716,COc1ccc2nc(SCC(=O)NN)cc(C)c2c1,10600.0,inactive
CHEMBL1376281,Cl.O=C(CNC1=NCCC1)c1ccc(Cl)cc1,23100.0,inactive
CHEMBL1393840,CC1=NN(Cc2ccccc2)C(=O)/C1=C/c1ccc(N(C)C)cc1,1220.0,intermediate
CHEMBL1472344,CCCc1n[nH]c2c1C(c1ccc(OC)cc1OC)C(C#N)=C(N)O2,4070.0,intermediate
CHEMBL3212479,Clc1ccc(Sc2oc(/C=N/n3cnnc3)cc2Br)cc1,8650.0,intermediate
CHEMBL1598985,CCc1nnc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3)ncc2Cl)s1,5090.0,intermediate
CHEMBL1464383,COc1cc(/C=C(\C#N)C(=O)c2c[nH]c3ccccc23)cc(OC)c1O,1180.0,intermediate
CHEMBL1425350,O=C(CSc1ncnc2c1nnn2-c1ccc(F)cc1)NCC1CCCO1,3670.0,intermediate
CHEMBL1542863,CC(C)(C)c1noc2c1C(c1cccs1)C(C#N)=C(N)N2,8710.0,intermediate
CHEMBL3144873,Cc1[nH]n(-c2ccccc2)c(=O)c1C(C[N+](=O)[O-])c1ccc(Cl)cc1,3220.0,intermediate
CHEMBL1369200,O=C(Nc1nc(-c2ccccc2)cs1)c1ccccc1NS(=O)(=O)c1ccc(F)cc1,8850.0,intermediate
CHEMBL1542804,O=[N+]([O-])c1cc(S(=O)(=O)C(F)(F)F)ccc1Sc1nc2ccccc2s1,249.0,active
CHEMBL1526410,NC(=O)c1c(-c2cccs2)csc1N,1020.0,intermediate
CHEMBL1442702,CSc1nc(-c2ccccc2)nn1C(=O)c1ccc(Cl)cc1,44300.0,inactive
CHEMBL3183391,CCc1ccc(S(=O)(=O)/N=C2\C=C(NS(=O)(=O)c3ccccc3)C(=O)c3ccccc32)cc1,3080.0,intermediate
CHEMBL3182716,CC(C)(C)c1ccc(S(=O)(=O)/N=C2\C=C(NS(=O)(=O)c3ccccc3)C(=O)c3ccccc32)cc1,4850.0,intermediate
CHEMBL1314125,O=C(CCl)N1c2ccccc2CCc2ccccc21,450.0,active
CHEMBL1345979,SC1=Nc2ccccc2C1,1660.0,intermediate
CHEMBL1560379,CCn1nc([N+](=O)[O-])c(C(C#N)c2nc3ccccc3s2)c(Cl)c1=O,3380.0,intermediate
CHEMBL1454680,COc1cc(/C=C2/C(=O)N(c3cccc(Br)c3)N=C2C)cc(OC)c1O,1600.0,intermediate
CHEMBL1314042,COc1ccccc1-c1cc(C(F)(F)F)nc(S(=O)(=O)CCCC(=O)N2CCOCC2)n1,4260.0,intermediate
CHEMBL1560229,CCn1c2ccccc2c2cc(C3C(C#N)=C(N)Oc4[nH]nc(COC)c43)ccc21,2700.0,intermediate
CHEMBL1794088,CC1=NNC(=O)C1C(c1ccc(F)cc1)C(C#N)C#N,2830.0,intermediate
CHEMBL1328510,CCCCCCCCCCOC(=O)Cn1c(COc2ccc(OC)cc2)[n+](C)c2ccccc21.[Cl-],10600.0,inactive
CHEMBL1497078,O=C(CCl)Nc1cccc(S(=O)(=O)N2CCCCCC2)c1,22600.0,inactive
CHEMBL1572216,Cc1n[nH]c(O)c1C(c1ccc(-c2cccc(Cl)c2)o1)c1c(C)n[nH]c1O,66200.0,inactive
CHEMBL1581601,O=C(CSc1nnc(Cc2ccccc2)o1)Nc1cccc(F)c1,86100.0,inactive
CHEMBL1497120,O=C(Oc1ccc(C(=S)N2CCOCC2)cc1)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],10600.0,inactive
CHEMBL1542809,Cc1oc2c(c1C(=O)N1CCOCC1)C(=O)c1ccccc1C2=O,506.0,active
CHEMBL1477097,Cc1nn(-c2ccccc2)c2c1C(c1ccco1)C(C#N)=C(N)O2,4030.0,intermediate
CHEMBL1336261,COc1ccc(C2C(C#N)=C(N)Oc3[nH]nc(C)c32)cc1CSc1ccccn1,6320.0,intermediate
CHEMBL551842,CCCCCc1c2c(cc(O)c1C(=O)O)OC(=O)c1c(cc(OC)cc1C(=O)CCCC)O2,4980.0,intermediate
CHEMBL1363844,Cc1cc(C)n2nc(CNS(=O)(=O)c3c(F)c(F)c(F)c(F)c3F)nc2n1,10800.0,inactive
CHEMBL1299269,CC1=NN(c2cccc(Cl)c2)C(=O)C12CC(C)=C(C)CS2,13200.0,inactive
CHEMBL1698050,CCSc1c([N+](=O)[O-])c(=O)n(-c2ccccc2)c2ccccc12,154600.0,inactive
CHEMBL1610747,CCCc1nn(C)c2c1C(c1cccnc1)C(C#N)=C(N)O2,3830.0,intermediate
CHEMBL52347,O=C1C=Cc2ccccc2C1=O,9130.0,intermediate
CHEMBL1299266,CC(C)OC(=O)CN1C(=O)C(=O)c2ccccc21,8520.0,intermediate
CHEMBL3190845,O=C(Cc1cc(O)n[nH]1)N/N=C/c1c(F)cccc1Cl,1530.0,intermediate
CHEMBL1581648,CCSc1cc(C2C(C#N)=C(N)Oc3[nH]nc(C)c32)c(C)o1,3290.0,intermediate
CHEMBL1415772,COc1ccc(-c2[nH]nc3c2C(c2ccncc2)C(C#N)=C(N)O3)cc1,2260.0,intermediate
CHEMBL1581795,CC(CCc1ccccc1)NC(=O)COC(=O)c1cc(NS(=O)(=O)c2ccc(Cl)c([N+](=O)[O-])c2)ccc1O,2950.0,intermediate
CHEMBL1503995,Cc1nc([N+](=O)[O-])c(Sc2nc3ccccc3[nH]2)n1Cc1ccccc1,12300.0,inactive
CHEMBL1489347,CC(=O)NC(c1ccc(Cl)cc1)c1c(O)ccc2ccc(O)cc12,4610.0,intermediate
CHEMBL1454910,O=[N+]([O-])c1ccc(O)c2ncccc12,14400.0,inactive
CHEMBL290916,CC1=NN(c2ccccc2)C(=O)C1,2950.0,intermediate
CHEMBL3192031,O=C(O)CC1SC(N/N=C/c2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)=NC1=O,4610.0,intermediate
CHEMBL1528757,Nc1cc(N)c(OCC(F)(F)F)cc1OCC(F)(F)F,4820.0,intermediate
CHEMBL1555488,COc1ccc(-n2c(C)cc(C(=O)CCl)c2C)cc1,19000.0,inactive
CHEMBL1599188,CC(=O)N(c1ccccc1)C(C)c1nc(C#N)c(C#N)nc1C,4350.0,intermediate
CHEMBL1418852,CCOc1cc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)ccc1OC(=O)c1cccc([N+](=O)[O-])c1,205.0,active
CHEMBL3145178,Cc1cc(=O)n(-c2ccc(O)cc2)[nH]1,774.0,active
CHEMBL1565623,Cc1cc(C(=O)c2ccc(C(C)(C)C)cc2)c(NC(=O)CCl)s1,2970.0,intermediate
CHEMBL1567760,Cc1nn(-c2ccccc2)c2c1C(c1ccccc1)C(C#N)=C(N)O2,9070.0,intermediate
CHEMBL1565674,O=Nc1c(O)c2ccccc2c2ccccc12,5300.0,intermediate
CHEMBL1494202,Cc1c(C#N)c(NC(=O)CCl)n(Cc2cccs2)c1C,9250.0,intermediate
CHEMBL1581740,Cc1nn(-c2ccccc2)c2c1C1(C(=O)N3c4c(cccc41)C(C)CC3(C)C)C(C#N)=C(N)O2,3200.0,intermediate
CHEMBL1418884,O=[N+]([O-])c1ccc(N2CCCC(C(F)(F)F)C2)c2ccncc12,10800.0,inactive
CHEMBL1364004,COC(=O)CC1=NN(c2ccc(OC)cc2)C(=O)C1,13100.0,inactive
CHEMBL1364018,Cc1ccc(C2=NN(C(=O)CCl)C(c3cccs3)C2)o1,1510.0,intermediate
CHEMBL3193655,CC(/C=N/NC(=O)Cc1cc(O)[nH]n1)=C\c1ccccc1,935.0,active
CHEMBL1717678,Oc1c2c(nn1-c1ccccc1)CCSC2,13700.0,inactive
CHEMBL1533621,O=C1C=C(Nc2cccc3cccnc23)c2ccccc2C1=O,2890.0,intermediate
CHEMBL3144830,CCOC(=O)c1ccc(-n2[nH]c(-c3ccccc3)cc2=O)cc1,2250.0,intermediate
CHEMBL1581727,C=CCN1C(=O)NC(c2ccc(OC)cc2)(C(F)(F)F)S/C1=C(/C#N)c1nnc(N2CCOCC2)n1-c1ccccc1,9730.0,intermediate
CHEMBL527336,Cc1ccc(NC2=C(N3CCCCC3)C(=O)c3ccccc3C2=O)cc1,619.0,active
CHEMBL1299407,N#Cc1c(N)n(CCOC(=O)c2ccc(Cl)cc2)c2nc3ccccc3nc12,1800.0,intermediate
CHEMBL1521427,CC1=NN(Cc2ccccc2)C(=O)C1C(c1ccccc1)C(C#N)C#N,2220.0,intermediate
CHEMBL3145102,COC(=O)Cc1cc(=O)n(-c2ccccc2)[nH]1,14000.0,inactive
CHEMBL1329297,CC1=NN(Cc2ccccc2)C(=O)C1C(c1ccncc1)C(C#N)C#N,3520.0,intermediate
CHEMBL1567571,CC(=O)C1=C(c2ccc(Br)cc2)C(=O)c2ccccc2C1=O,1940.0,intermediate
CHEMBL1346302,O=C(COC(=O)c1ccc2c(c1Cl)C(=O)c1ccccc1C2=O)NC1CC1,12900.0,inactive
CHEMBL1489430,CCCc1n[nH]c(O)c1C(c1cccc(Cl)c1)C(C#N)C#N,755.0,active
CHEMBL1454882,Cc1ccc(NC(=O)c2cnc(SCC(=O)NCC3CCCO3)n(C)c2=O)cc1,30900.0,inactive
CHEMBL1411089,Cc1cc(C)c(S(=O)(=O)ON2C(=O)c3ccccc3C2=O)cc1C,10200.0,inactive
CHEMBL1536196,CNCc1ccccc1Sc1ccc(O)c(O)c1.O=C(O)/C=C\C(=O)O,2570.0,intermediate
CHEMBL1497295,O=C(CCl)N(c1ccc(Cl)cc1)c1c[nH]c2ccccc12,195.0,active
CHEMBL3195749,COC(=O)c1ccccc1NC1=C/C(=N\S(=O)(=O)c2cccs2)c2ccccc2C1=O,20.8,active
CHEMBL333767,O=C(NNC(=O)c1ccc([N+](=O)[O-])o1)c1ccccc1,13500.0,inactive
CHEMBL1403738,COc1ccc(C2NC(=O)NC3=C2CCc2ccccc23)cc1,4700.0,intermediate
CHEMBL1318943,[O-][N+]1=c2ccc(Nc3ccccc3)cc2=NC12CCCCC2,4370.0,intermediate
CHEMBL3145078,Cc1[nH]n(C(C)(C)C)c(=O)c1Sc1ccccc1,2020.0,intermediate
CHEMBL1487321,COCC(C)NC(=O)CCS(=O)(=O)c1nc(-c2ccc(OC)cc2)cc(C(F)(F)F)n1,6720.0,intermediate
CHEMBL1386277,CCOC(=O)CSc1n[nH]c(NC(=O)c2cccc(C(F)(F)F)c2)n1,12400.0,inactive
CHEMBL1967862,O=C1/C(=N\S(=O)(=O)c2ccc([N+](=O)[O-])cc2)C(Cl)=C(O)c2ccccc21,1260.0,intermediate
CHEMBL1454770,Cn1cnc([N+](=O)[O-])c1Oc1cccc2ccccc12,13200.0,inactive
